word_id,headword,meaning_text,approved_as_is,alternative_word,alternative_pos
,about,Concerned with,true,,
,about,APPROXIMATELY (adv),false,APPROXIMATELY,adv
,about,AROUND (prep),false,AROUND,prep
,above,In (or to) a position farther up than something,true,,
,above,MORE THAN,true,,
,absorb,1.       To take up or into,true,,
,absorb,2.     To decrease the effect of,true,,
,activate,"To make a system, function, or feature ready for operation",true,,
,activate,START (v),false,START,v
,after,"That follows a specified time, sequence, or operation",true,,
,after,"That follows a specified time, sequence, or operation",true,,
,alternative,That gives a choice,true,,
,alternative,One of two or more objects or processes that have the same or almost the same properties or functions,true,,
,apply,1 To put or spread something on,true,,
,apply,"2 To use something (for example, pressure, force, load) to cause an effect",true,,
,arm,1. To install armaments,true,,
,arm,2. To prepare for automatic operation,true,,
,around,On all sides of,true,,
,around,APPROXIMATELY (adv),false,APPROXIMATELY,adv
,auxiliary,1 That operates in a secondary function,true,,
,auxiliary,2 That gives help,true,,
,be,"1. To occur, exist",true,,
,be,"2. To have a property, to be equal to",true,,
,before,"That precedes a specified time, sequence, or operation",true,,
,before,"That precedes a specified time, sequence, or operation",true,,
,below,In (or to) a position farther down than something,true,,
,below,LESS THAN,true,,
,bend,The area where something is bent,true,,
,bend,To change or cause to change from straight to curved,true,,
,bond,1. A connection between structural components for electrical continuity,true,,
,bond,2. A firm connection with another material,true,,
,bond,1. To make an electrical bond,true,,
,bond,2. To attach firmly or become firmly attached with another material,true,,
,burn,1. To cause or undergo combustion,true,,
,burn,2. To cause injury or damage through heat,true,,
,cancel,1. To do the necessary steps to stop a process,true,,
,cancel,2. To remove the validity of something,true,,
,catch,To stop or prevent the movement of something,true,,
,catch,COLLECT (v),false,COLLECT,v
,cause,Something that brings about a result,true,,
,cause,To be the cause of,true,,
,change,That which occurs when something changes,true,,
,change,To become or to cause to become different,true,,
,change,REPLACE (v),false,REPLACE,v
,charge,To accumulate or add electrical energy,true,,
,charge,FILL (v),false,FILL,v
,charge,PRESSURIZE (v),false,PRESSURIZE,v
,clean,That does not include dirt or unwanted material,true,,
,clean,To remove dirt or unwanted materials,true,,
,close,"1. To move together, or to move to a position that stops or prevents materials from going in or out",true,,
,close,2. To operate a circuit breaker to make an electrical circuit,true,,
,condition,1. Something that is necessary for what occurs,true,,
,condition,2. The state of an item,true,,
,control,Something that controls,true,,
,control,"To give or send signals that adjust, operate, or keep something to a limit, or that cause something to operate",true,,
,correct,That agrees with all that is necessary to the maximum,true,,
,correct,To make correct,true,,
,cut,1. To divide into parts,true,,
,cut,2. To remove with a sharp tool,true,,
,data,1. Known facts,true,,
,data,2. Numbers and symbols used by computers,true,,
,deactivate,"To make a system, function, or feature no longer ready for operation",true,,
,deactivate,STOP (v),false,STOP,v
,disarm,1. To remove armaments,true,,
,disarm,2. To prevent automatic operation,true,,
,divide,1. To separate into parts or groups,true,,
,divide,2. To do mathematical division,true,,
,do,"1. To complete a procedure, task, or step",true,,
,do,2. As an auxiliary verb,true,,
,do,a. As part of a negative command or statement,true,,
,do,b. As part of a question,true,,
,down,In a position below,true,,
,down,To a position below,true,,
,down,To a position below,true,,
,downstream,In the direction of the flow,true,,
,downstream,In the direction of the flow,true,,
,drink,To consume liquid,true,,
,drink,SWALLOW (v),false,SWALLOW,v
,each,"Every one of two or more objects or persons, seen together as a group but identified separately",true,,
,each,"Every one of two or more objects or persons, seen together as a group but identified separately",true,,
,eat,To consume food,true,,
,eat,SWALLOW (v),false,SWALLOW,v
,equivalent,"Has the same properties, functions, or values",true,,
,equivalent,"Something that has the same properties, functions, or values",true,,
,extension,1. The action when something extends,true,,
,extension,2. The result when something extends,true,,
,extinguish,To stop burning,true,,
,extinguish,GO OFF,true,,
,extinguish,BE OFF,true,,
,fire,The light and/or heat from a material when it burns,true,,
,fire,"To ignite, or to operate items that contain an explosive material",true,,
,flow,A continuous movement of fluid,true,,
,flow,To move as a fluid moves,true,,
,flush,Of a surface that is level or continuous with another surface,true,,
,flush,To remove something or to operate with a flow of liquid,true,,
,follow,"To come after, to go after",true,,
,follow,OBEY (v),false,OBEY,v
,forward,Nearer to the front,true,,
,forward,In the direction of the front,true,,
,front,Nearer to the person that looks or a reference point,true,,
,front,The front part or the front surface,true,,
,ground,The surface of the earth,true,,
,ground,To connect to the ground or to a large object of zero potential,true,,
,hold,1. To continue to have in the hand or grip,true,,
,hold,"2. To continue to have in a specified location, position, or condition",true,,
,identify,1. To use a specified code or marking to supply with an identity1,true,,
